system:index,cloud_base_height,cloud_fraction,cloud_top_height,month,year,.geo
0,2035.381221152029,0.4212504271052541,2661.0327259121796,1,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,1639.9841477086052,0.3468050605453887,2213.337951759973,2,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,3348.692003537934,0.3171370471775616,4086.516731250382,3,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,5982.373899751534,0.14480058308136656,6960.439389914502,4,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,6074.162232829871,0.0637865304225378,7020.745397461122,5,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,5509.98916579287,0.04686013474916368,6372.744206593563,6,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,3740.1350338602088,0.14182353651439453,4508.271982437165,7,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,3213.2893893463092,0.1696305278938497,3899.8709649345924,8,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,1143.6239526192094,0.13003877639835695,1684.716554000461,9,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,1651.6206968615973,0.16205600568745304,2199.4545233450917,10,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,3113.0075223888543,0.3569481231887197,3839.46266251117,11,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,1679.576037684614,0.5325547257551774,2193.6357366962225,12,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,2254.2091038022063,0.4384138625658493,2987.270486387282,1,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,1892.9076958383166,0.20765033591144305,2507.054181419071,2,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,3012.8193133280374,0.3343850671114813,3790.7996254306263,3,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,4986.660680014179,0.10498581659568075,5929.024326098406,4,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,7056.328324415464,0.07635935586450987,7998.1133232694365,5,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,4589.412837033903,0.03537723842340777,5399.260798398092,6,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,2102.782307071756,0.1700667758082454,2938.972510874986,7,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,3245.4699370394933,0.3117202876430619,4176.851065115026,8,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2816.32411038667,0.22709815814225423,3749.9927815345563,9,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,3013.3782394154764,0.04145079398118275,3977.236273962815,10,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,3447.788372387208,0.3536767980088854,4393.003594449486,11,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,2376.144873522859,0.27533211186407663,3317.2697688635612,12,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,2738.5289655614442,0.31059292880971134,3626.6617601997204,1,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,3617.6548395560785,0.19819454226058755,4532.41039159204,2,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,4266.3796710841425,0.20242290029695553,5210.588281550095,3,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,5075.324381843636,0.176015375500507,6047.912666338383,4,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
